freq,CFEPhase,fullPhase,expPhase,recPhase,shiftAvgPhase1,shiftAvgPhase9,shiftAvgPhase5,shiftAvgPhase3,shiftAvgPhase8
0.0500,1.0771,45.7266,177.6458,0.2368,0.1619,0.9341,1.7783,11.9823,3.1654
0.0792,1.7061,45.1300,176.2754,0.3752,0.2566,1.4798,2.8151,18.1692,4.9985
0.1256,2.7024,44.8009,174.0937,0.5946,0.4067,2.3444,4.4538,26.4299,7.8718
0.1991,4.2748,44.9328,170.6615,0.9419,0.6446,3.7104,7.0238,35.2941,12.2680
0.3155,6.7422,44.9830,165.2708,1.4914,1.0215,5.8597,10.9952,42.0839,18.6761
0.5000,10.5561,44.9467,156.9867,2.3588,1.6185,9.2040,16.9109,45.0208,27.0665
0.7924,16.2475,44.9191,144.6635,3.7222,2.5633,14.2728,25.0365,45.0020,36.0264
1.2559,24.0884,44.8848,127.6522,5.8462,4.0556,21.4999,34.5171,44.1660,42.8086
1.9905,33.2800,44.8156,106.7789,9.0931,6.3996,30.5518,42.8282,43.6310,45.4902
3.1548,41.4229,44.7120,84.5882,13.8681,10.0338,39.4794,47.1814,43.2312,44.9497
5.0000,45.9453,44.5457,64.3473,20.3855,15.4921,45.2732,46.9071,42.7564,43.7377
7.9245,46.5400,44.2825,49.0462,28.1925,23.1162,46.2294,44.4540,42.1393,43.0209
12.5594,45.4514,43.8653,40.2270,35.7874,32.2759,43.7939,42.6486,41.3433,42.3086
19.9054,44.9108,43.2041,37.5114,41.3875,40.6034,41.5627,40.8112,40.3155,41.2737
31.5479,44.9764,42.1563,38.7343,43.8762,44.8755,39.9306,38.3356,38.9791,39.8005
50.0000,45.0014,40.4956,40.1547,42.7323,43.2233,37.6835,35.4479,37.2318,37.7394
79.2447,44.9959,37.8635,38.3586,37.5377,37.2735,34.9204,32.6294,34.9190,34.9929
125.5943,44.9959,33.6922,33.5348,33.6359,33.7351,31.5846,30.3222,31.7524,31.5961
199.0536,44.9951,27.0813,27.1374,26.7220,26.6597,26.8915,27.0772,26.9618,26.8845
315.4787,44.9928,16.6042,16.6242,16.3611,16.3471,17.8994,18.6020,17.8712,17.8997
500.0000,180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000,-180.0000
